size,early_stop_seq_avg_s,fixed50_seq_avg_s,early_stop_mpi_np2_avg_s,fixed50_mpi_np2_avg_s,early_stop_speedup,fixed50_speedup
2000,0.14550362433333333,0.49144983400000003,0.19113518000000002,0.8240602463333334,0.7612602992988173,0.5963760977267285
3000,0.30264286500000004,0.9181442133333334,0.3772905933333333,1.53057935,0.8021479208537209,0.5998671113218229
4000,0.532228632,1.6724803246666666,0.6294251160000001,2.0104539586666665,0.8455789552573241,0.8318918806655269
5000,0.8260809783333334,2.5603260083333335,0.7495399313333333,2.6014679666666667,1.1021173706700904,0.9841850990054475
6000,1.1566396766666667,3.9265619856666665,1.0152073226666667,3.4562802633333334,1.139313764629373,1.136065853027723
7000,1.5776529896666667,4.924188128666667,1.197229616,4.298588648666667,1.3177530597160458,1.1455360191755142
8000,2.1166343186666667,6.665660505333333,1.5667629023333334,5.250830501333334,1.3509601966669151,1.2694488050301251
9000,2.7533993750000003,8.240619167333334,1.8901917613333332,6.735061174666667,1.4566772701716593,1.2235403589695204
10000,3.322897576,10.411482680333332,2.2198125369999997,8.931169806,1.4969271146160754,1.1657468065760939
11000,3.9272521476666666,14.236001075,2.5940453420000003,10.052261307333334,1.513948921432024,1.4161988670762609
12000,4.560251124333333,15.094071424333332,3.0136856186666665,10.291006129333333,1.513180769781457,1.4667245587687887
