size,seq_avg_runtime_sec,seq_std_runtime_sec,mpi_avg_runtime_sec,mpi_std_runtime_sec,avg_speedup,efficiency_np2,avg_payload_mb,avg_obj_diff,reps
2000,0.7129027036666666,0.09790343024107297,0.681480829,0.045605453847778095,1.0510491009943923,0.5255245504971962,0.762939453125,1.8189153886775482e-14,3
3000,1.4079824413333333,0.051944341754055594,1.26910946,0.1432299560896208,1.1218146982838062,0.5609073491419031,1.1444091796875,3.8450724086184586e-14,3
4000,2.4574962246666665,0.13596549626511253,2.192344468,0.37474694753807697,1.1542244572850904,0.5771122286425452,1.52587890625,1.1009711660866136e-14,3
5000,4.2300897090000005,0.424431126255295,2.6388001246666666,0.07163184893463077,1.5999551580121696,0.7999775790060848,1.9073486328125,9.02981393361794e-14,3
