variant,size,count,avg_runtime_sec,first3_runtime_sec,last3_runtime_sec,seq_avg_runtime_sec,speedup_avg,efficiency,avg_objective_diff,last_suggested_weights_csv
contiguous,2000,4,0.58289749,0.6031565766666667,0.5780805086666667,0.52286579725,0.8970115778848182,0.2990038592949394,3.2335245592207684e-15,"0.9313140293,0.9100815201,1.158604451"
contiguous,3000,4,0.7706450945,0.7787690676666666,0.7656347466666666,1.1222430075,1.4562384364856293,0.48541281216187643,1.8735013540549517e-15,"0.8902659264,0.9548345315,1.154899542"
contiguous,4000,4,1.1293572907499998,1.1407383846666665,1.159108072,2.03082084075,1.798209350914398,0.599403116971466,5.384581669432009e-15,"0.8896477413,0.9593668301,1.150985429"
contiguous,5000,4,1.53139655525,1.5277115116666666,1.5516989413333333,3.05221341625,1.9930914731303722,0.6643638243767908,7.868705687030797e-15,"0.8814335883,0.994199102,1.12436731"
contiguous,6000,4,1.9751806295,1.9769487053333334,1.9764342133333335,4.35326578075,2.2039836335636767,0.7346612111878922,9.270362255620057e-15,"0.931487038,0.9587034436,1.109809518"
contiguous,7000,4,2.472400576,2.4550250263333333,2.4959803643333336,5.97784335375,2.417829623475221,0.8059432078250737,2.2551405187698492e-14,"0.9183034609,0.9685904611,1.113106078"
contiguous,8000,4,3.1077052050000002,3.1022809026666667,3.123811191,7.659850657750001,2.46479320027718,0.8215977334257266,2.9629076969683865e-14,"0.9455670441,0.9616124278,1.092820528"
contiguous,9000,4,3.8464928565000003,3.842324792,3.839053867,9.930141079750001,2.581609130761686,0.8605363769205621,1.292022044907526e-14,"0.94541864,0.950678059,1.103903301"
contiguous,10000,4,4.72492906675,4.671235506666666,4.712911342333333,12.258261892,2.5943800888489816,0.8647933629496606,3.899658373995862e-15,"0.9118995798,0.9638235643,1.124276856"
contiguous,11000,4,5.70826596825,5.656423608000001,5.65475454,14.967200108,2.622022202758106,0.8740074009193687,1.5501488981328748e-14,"0.8973483711,0.9789265745,1.123725054"
contiguous,12000,4,6.83866918,6.768853969999999,6.911240622333334,17.69265501575,2.5871488370124665,0.8623829456708222,6.447620215510597e-14,"0.9345657574,0.9174366703,1.147997572"
runtime_queue,2000,2,2.184593905,nan,nan,0.52286579725,0.23934233088048468,0.07978077696016156,2.0068664091654753e-10,"0.07317073171,1.263073098,1.66375617"
runtime_queue,4000,2,6.038049309,nan,nan,2.03082084075,0.336337240194936,0.112112413398312,4.0047876126436677e-10,"0.07317073171,1.290219108,1.63661016"
seq,2000,4,0.52286579725,0.537863339,0.5344930446666667,0.52286579725,nan,nan,0.0,
seq,3000,4,1.1222430075,1.132989116,1.1279270646666668,1.1222430075,nan,nan,0.0,
seq,4000,4,2.03082084075,2.0699520326666665,2.041140242,2.03082084075,nan,nan,0.0,
seq,5000,4,3.05221341625,3.0839823646666664,3.037349933333333,3.05221341625,nan,nan,0.0,
seq,6000,4,4.35326578075,4.351919791333333,4.317255523333333,4.35326578075,nan,nan,0.0,
seq,7000,4,5.97784335375,6.020327904,5.933481335,5.97784335375,nan,nan,0.0,
seq,8000,4,7.659850657750001,7.68198483,7.541967162,7.659850657750001,nan,nan,0.0,
seq,9000,4,9.930141079750001,10.032947273000001,9.714229937666667,9.930141079750001,nan,nan,0.0,
seq,10000,4,12.258261892,12.350641115666667,12.091398775666667,12.258261892,nan,nan,0.0,
seq,11000,4,14.967200108,14.565410060666666,15.004848870666667,14.967200108,nan,nan,0.0,
seq,12000,4,17.69265501575,17.794855592666664,17.517811794333333,17.69265501575,nan,nan,0.0,
weighted_adaptive,2000,4,1.12974319975,1.3223847043333332,1.2989165679999999,0.52286579725,0.4628182735383622,0.15427275784612074,2.3349377986647823e-15,"0.9346197482,0.9180001008,1.147380151"
weighted_adaptive,3000,4,0.7337455195,0.7247594580000001,0.7420619783333333,1.1222430075,1.5294717005764287,0.5098239001921429,5.204170427930421e-17,"0.8946175645,0.9386648233,1.166717612"
weighted_adaptive,4000,4,1.14035726575,1.1644801793333335,1.1284940516666668,2.03082084075,1.7808636834653324,0.5936212278217775,8.271161533457416e-15,"0.9228303993,0.9217968463,1.155372754"
weighted_adaptive,5000,4,1.5651949200000002,1.6052757003333333,1.5014315333333335,3.05221341625,1.950053234423991,0.650017744807997,2.6575963651964685e-15,"0.9295643702,0.9504893131,1.119946317"
weighted_adaptive,6000,4,1.99645045325,2.0326623286666665,1.961553639,4.35326578075,2.180502788668442,0.7268342628894806,5.4539706084710815e-15,"0.9698747674,0.9343084241,1.095816808"
weighted_adaptive,7000,4,2.5238196512499997,2.5194849806666664,2.459046841333333,5.97784335375,2.368569937550525,0.7895233125168417,1.2569806306927944e-14,"0.9209806419,0.9686608095,1.110358549"
weighted_adaptive,8000,4,3.128389974,3.1181856470000002,3.065735365,7.659850657750001,2.448496102279735,0.8161653674265783,3.395200787181807e-14,"0.9166601162,0.9713192197,1.112020664"
weighted_adaptive,9000,4,3.926863871,3.873507929666667,3.9369250583333337,9.930141079750001,2.528771407912653,0.842923802637551,1.7003759511524663e-14,"0.8639449357,0.9885344758,1.147520588"
weighted_adaptive,10000,4,4.64417158825,4.669665841,4.675481228,12.258261892,2.639493752344132,0.8798312507813774,1.1646933417708283e-14,"0.9267192323,0.9693140672,1.1039667"
weighted_adaptive,11000,4,5.58818621225,5.630875717666666,5.4300909436666664,14.967200108,2.6783645962244482,0.8927881987414827,4.746203430272544e-15,"0.9403551416,0.9531964499,1.106448409"
weighted_adaptive,12000,4,6.58378079475,6.746173220666667,6.342290161333334,17.69265501575,2.687309247880545,0.8957697492935149,7.369452270644672e-14,"0.9510781098,0.94690672,1.10201517"
weighted_equal,2000,4,0.56236813475,0.572239182,0.5457773043333333,0.52286579725,0.9297571553950853,0.30991905179836177,2.3175905639050143e-15,"0.926691186,0.8391280404,1.234180774"
weighted_equal,3000,4,0.7609301995,0.7868470123333333,0.7689189403333333,1.1222430075,1.4748304223402033,0.49161014078006776,1.6653345369377348e-16,"0.9633492031,0.9166849143,1.119965883"
weighted_equal,4000,4,1.1406784385,1.170082984,1.1354866436666666,2.03082084075,1.7803622582894998,0.5934540860965,8.715250743307479e-15,"0.9541042427,0.9246081687,1.121287589"
weighted_equal,5000,4,1.56715273375,1.570550377,1.605656795,3.05221341625,1.9476170704475217,0.649205690149174,7.077671781985373e-16,"0.8994543305,0.9674072367,1.133138433"
weighted_equal,6000,4,1.9895269875000001,1.9905126923333334,2.0025505926666667,4.35326578075,2.1880908417433567,0.7293636139144523,5.329070518200751e-15,"0.9270259422,0.9465304236,1.126443634"
weighted_equal,7000,4,2.54991127925,2.548780787666667,2.5425498453333333,5.97784335375,2.344333860709166,0.7814446202363886,8.396061623727746e-15,"0.9397608883,0.9726940379,1.087545074"
weighted_equal,8000,4,3.19506865025,3.197597709,3.2162947026666666,7.659850657750001,2.3973978327979437,0.7991326109326479,3.4361402612148595e-14,"0.940047769,0.9620860132,1.097866218"
weighted_equal,9000,4,3.98667024325,4.031885042666667,3.948465920333333,9.930141079750001,2.4908358288632333,0.8302786096210778,1.8055001937966608e-14,"0.9738347534,0.9415110378,1.084654209"
weighted_equal,10000,4,4.736725475,4.774322607,4.656223609,12.258261892,2.5879190079091505,0.8626396693030501,1.1060596882828122e-14,"0.9514469008,0.9447281246,1.103824975"
weighted_equal,11000,4,5.81993439775,5.860767199666666,5.825455406333333,14.967200108,2.571712855352176,0.8572376184507253,7.452372052796363e-15,"0.9446025526,0.9763735122,1.079023935"
weighted_equal,12000,4,6.858412667,6.863313967333333,6.694699215333333,17.69265501575,2.5797011458467844,0.8599003819489281,7.105427357601002e-14,"0.9373776652,0.9727877411,1.089834594"
weighted_manual_211,2000,4,0.6228020755,0.6154865336666666,0.6262263693333333,0.52286579725,0.8395376602273382,0.2798458867424461,4.038436252074007e-15,"0.90648158,0.9032513281,1.190267092"
weighted_manual_211,3000,4,0.90647778225,0.8976023896666666,0.912472389,1.1222430075,1.2380259389418697,0.41267531298062327,2.095545958979983e-15,"0.9437496382,0.9626321376,1.093618224"
weighted_manual_211,4000,4,1.344848965,1.359732745,1.334713481,2.03082084075,1.5100735425334548,0.5033578475111516,4.232725281383409e-15,"0.9386523825,0.9366544471,1.12469317"
weighted_manual_211,5000,4,1.9369482169999999,1.9106619236666667,1.9427494669999998,3.05221341625,1.575784726438043,0.5252615754793476,7.0637939941775585e-15,"0.891239185,0.9893777898,1.119383025"
weighted_manual_211,6000,4,2.5796293145,2.587428633,2.5682109116666667,4.35326578075,1.68755478016956,0.5625182600565201,1.5279444376403717e-14,"0.9365771542,0.9537650574,1.109657788"
weighted_manual_211,7000,4,3.29012146425,3.3050859846666665,3.2108358929999996,5.97784335375,1.816906584970923,0.605635528323641,1.7985612998927536e-14,"0.9518156582,0.9446457205,1.103538621"
weighted_manual_211,8000,4,4.3382023255,4.349872815333333,4.326045721,7.659850657750001,1.765673908919673,0.5885579696398909,3.141931159689193e-14,"0.9229838704,0.9597808288,1.117235301"
weighted_manual_211,9000,4,5.259418513,5.225330406333334,5.289613845333333,9.930141079750001,1.888068244655776,0.6293560815519254,2.0886070650760757e-14,"0.9159967562,0.9608022028,1.123201041"
weighted_manual_211,10000,4,6.4418784245,6.464964786333333,6.451446554333333,12.258261892,1.902901775571999,0.634300591857333,3.469446951953614e-16,"0.9387002714,0.951300474,1.109999255"
weighted_manual_211,11000,4,7.68418549625,7.642561467666667,7.695297021,14.967200108,1.9477926600423978,0.6492642200141326,1.9512169657787126e-14,"0.9215241519,0.9566265644,1.121849284"
weighted_manual_211,12000,4,9.01480162575,8.726701448,9.101751300666667,17.69265501575,1.9626227786546586,0.6542075928848862,6.045164369083977e-14,"0.8707507682,0.9963820965,1.132867135"
