size,rep,weights_used_csv,suggested_csv,next_weights_csv
2000,1,1,1,1,0.7032995781,0.9676255893,1.329074833,0.851649789,0.9838127947,1.164537416
3000,1,1,1,1,0.912812582,0.9444890297,1.142698388,0.956406291,0.9722445149,1.071349194
4000,1,1,1,1,0.8913852563,0.9861202598,1.122494484,0.9456926281,0.9930601299,1.061247242
5000,1,1,1,1,0.797781619,1.017961477,1.184256904,0.8988908095,1.008980738,1.092128452
6000,1,1,1,1,0.881497033,0.9841713495,1.134331617,0.9407485165,0.9920856747,1.067165809
7000,1,1,1,1,0.869823107,0.9834039486,1.146772944,0.9349115535,0.9917019743,1.073386472
8000,1,1,1,1,0.920227589,0.9765317466,1.103240664,0.9601137945,0.9882658733,1.051620332
9000,1,1,1,1,0.9390063496,0.965186173,1.095807477,0.9695031748,0.9825930865,1.047903739
10000,1,1,1,1,0.9446015564,0.9624272174,1.092971226,0.9723007782,0.9812136087,1.046485613
11000,1,1,1,1,0.933474969,0.9413357889,1.125189242,0.9667374845,0.9706678945,1.062594621
12000,1,1,1,1,0.8900062154,0.9527320572,1.157261727,0.9450031077,0.9763660286,1.078630864
2000,2,0.851649789,0.9838127947,1.164537416,0.9907295946,0.8529268265,1.156343579,0.9211896919,0.9183698107,1.160440497
3000,2,0.956406291,0.9722445149,1.071349194,0.8906037319,0.9630628108,1.146333457,0.9235050115,0.9676536628,1.108841326
4000,2,0.9456926281,0.9930601299,1.061247242,0.7896367656,1.025881424,1.184481811,0.8676646969,1.009470777,1.122864526
5000,2,0.8988908095,1.008980738,1.092128452,0.9277060286,0.9216947085,1.150599263,0.9132984191,0.9653377233,1.121363858
6000,2,0.9407485165,0.9920856747,1.067165809,0.9186111812,0.9556788938,1.125709925,0.9296798488,0.9738822842,1.096437867
7000,2,0.9349115535,0.9917019743,1.073386472,0.9478043412,0.9559037646,1.096291894,0.9413579474,0.9738028695,1.084839183
8000,2,0.9601137945,0.9882658733,1.051620332,0.9774392201,0.9357103326,1.086850447,0.9687765073,0.961988103,1.06923539
9000,2,0.9695031748,0.9825930865,1.047903739,0.942690862,0.9473430986,1.109966039,0.9560970183,0.9649680925,1.078934889
10000,2,0.9723007782,0.9812136087,1.046485613,0.9202514495,0.9721495817,1.107598969,0.9462761139,0.9766815952,1.077042291
11000,2,0.9667374845,0.9706678945,1.062594621,0.9408897715,0.966379373,1.092730856,0.953813628,0.9685236337,1.077662738
12000,2,0.9450031077,0.9763660286,1.078630864,0.9493032074,0.9726268861,1.078069906,0.9471531575,0.9744964573,1.078350385
2000,3,0.9211896919,0.9183698107,1.160440497,0.9130801508,0.8907636669,1.196156182,0.9171349214,0.9045667389,1.17829834
3000,3,0.9235050115,0.9676536628,1.108841326,0.8942731159,0.9513224846,1.1544044,0.9088890637,0.9594880736,1.131622863
4000,3,0.8676646969,1.009470777,1.122864526,0.9303187103,0.9551859488,1.114495341,0.8989917036,0.9823283629,1.118679933
5000,3,0.9132984191,0.9653377233,1.121363858,0.9266094141,0.9422477868,1.131142799,0.9199539166,0.953792755,1.126253328
6000,3,0.9296798488,0.9738822842,1.096437867,0.9469736582,0.9507054131,1.102320929,0.9383267535,0.9622938487,1.099379398
7000,3,0.9413579474,0.9738028695,1.084839183,0.9715939906,0.9250668982,1.103339111,0.956475969,0.9494348839,1.094089147
8000,3,0.9687765073,0.961988103,1.06923539,0.9819691002,0.9467252831,1.071305617,0.9753728037,0.954356693,1.070270503
9000,3,0.9560970183,0.9649680925,1.078934889,0.9580401183,0.9474547911,1.094505091,0.9570685683,0.9562114418,1.08671999
10000,3,0.9462761139,0.9766815952,1.077042291,0.9470842772,0.9463045597,1.106611163,0.9466801955,0.9614930775,1.091826727
11000,3,0.953813628,0.9685236337,1.077662738,0.9842319482,0.9400499638,1.075718088,0.9690227881,0.9542867988,1.076690413
12000,3,0.9471531575,0.9744964573,1.078350385,0.9542900057,0.9555101396,1.090199855,0.9507215816,0.9650032985,1.08427512
2000,4,0.9171349214,0.9045667389,1.17829834,0.9346197482,0.9180001008,1.147380151,0.9258773348,0.9112834198,1.162839245
3000,4,0.9088890637,0.9594880736,1.131622863,0.8946175645,0.9386648233,1.166717612,0.9017533141,0.9490764484,1.149170238
4000,4,0.8989917036,0.9823283629,1.118679933,0.9228303993,0.9217968463,1.155372754,0.9109110515,0.9520626047,1.137026344
5000,4,0.9199539166,0.953792755,1.126253328,0.9295643702,0.9504893131,1.119946317,0.9247591435,0.9521410341,1.123099822
6000,4,0.9383267535,0.9622938487,1.099379398,0.9698747674,0.9343084241,1.095816808,0.9541007604,0.9483011364,1.097598103
7000,4,0.956475969,0.9494348839,1.094089147,0.9209806419,0.9686608095,1.110358549,0.9387283054,0.9590478467,1.102223848
8000,4,0.9753728037,0.954356693,1.070270503,0.9166601162,0.9713192197,1.112020664,0.94601646,0.9628379564,1.091145584
9000,4,0.9570685683,0.9562114418,1.08671999,0.8639449357,0.9885344758,1.147520588,0.910506752,0.9723729588,1.117120289
10000,4,0.9466801955,0.9614930775,1.091826727,0.9267192323,0.9693140672,1.1039667,0.9366997139,0.9654035724,1.097896714
11000,4,0.9690227881,0.9542867988,1.076690413,0.9403551416,0.9531964499,1.106448409,0.9546889648,0.9537416244,1.091569411
12000,4,0.9507215816,0.9650032985,1.08427512,0.9510781098,0.94690672,1.10201517,0.9508998457,0.9559550092,1.093145145
