size,old_seq_avg_s,sameband_seq_avg_s,seq_change_ratio_old_over_new,old_mpi_np2_avg_s,sameband_mpi_np2_avg_s,mpi_change_ratio_old_over_new,old_speedup,sameband_speedup
2000,0.2573130056666667,0.14550362433333333,1.7684302150246785,0.25723493733333336,0.19113518000000002,1.3458272691261406,1.0003034903973103,0.7612602992988173
3000,0.5453879186666667,0.30264286500000004,1.80208417821668,0.43324196699999995,0.3772905933333333,1.1482978230979484,1.2588529279451517,0.8021479208537209
4000,0.709348434,0.532228632,1.3327889394721628,0.74039124,0.6294251160000001,1.1762975788211159,0.9580724293820656,0.8455789552573241
5000,0.8866258303333333,0.8260809783333334,1.0732916670253716,0.6684489326666666,0.7495399313333333,0.8918123034186899,1.326392768399354,1.1021173706700904
6000,1.186897295,1.1566396766666667,1.0261599346310972,0.982837514,1.0152073226666667,0.9681150756658844,1.2076231097137387,1.139313764629373
7000,1.6452738173333334,1.5776529896666667,1.0428616610303854,1.1768636723333334,1.197229616,0.9829891080253176,1.3980156376747501,1.3177530597160458
8000,2.1245629756666666,2.1166343186666667,1.0037458794512009,1.465779546,1.5667629023333334,0.9355464976972956,1.449442367690582,1.3509601966669151
9000,2.723570322333333,2.7533993750000003,0.9891664634860072,1.929633661,1.8901917613333332,1.02086661283448,1.4114442432155172,1.4566772701716593
10000,3.387961043333333,3.322897576,1.0195803409058593,2.16685217,2.2198125369999997,0.9761419641896545,1.5635404621688305,1.4969271146160754
11000,3.9924834203333335,3.9272521476666666,1.0166099018382162,2.8058683026666666,2.5940453420000003,1.0816573855657248,1.4229047801491328,1.513948921432024
12000,5.692592039,4.560251124333333,1.248306701493814,3.2592404606666667,3.0136856186666665,1.081479912993924,1.7466008131954767,1.513180769781457
