kind,size,rep,runtime_sec,objective,row_error,col_error,num_processes,hostnames,json,log
seq,2000,1,0.832256467,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,1,vmubuntu,seq_2000_rep1.json,logs/seq_2000_rep1.log
seq,2000,2,0.8792410359999999,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,1,vmubuntu,seq_2000_rep2.json,logs/seq_2000_rep2.log
seq,2000,3,0.9109401570000001,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,1,vmubuntu,seq_2000_rep3.json,logs/seq_2000_rep3.log
seq,2000,4,0.698697641,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,1,vmubuntu,seq_2000_rep4.json,logs/seq_2000_rep4.log
seq,3000,1,2.487993693,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,1,vmubuntu,seq_3000_rep1.json,logs/seq_3000_rep1.log
seq,3000,2,1.411500573,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,1,vmubuntu,seq_3000_rep2.json,logs/seq_3000_rep2.log
seq,3000,3,1.679801975,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,1,vmubuntu,seq_3000_rep3.json,logs/seq_3000_rep3.log
seq,3000,4,1.160041379,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,1,vmubuntu,seq_3000_rep4.json,logs/seq_3000_rep4.log
seq,4000,1,3.9332770719999997,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,1,vmubuntu,seq_4000_rep1.json,logs/seq_4000_rep1.log
seq,4000,2,2.390915438,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,1,vmubuntu,seq_4000_rep2.json,logs/seq_4000_rep2.log
seq,4000,3,2.876088701,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,1,vmubuntu,seq_4000_rep3.json,logs/seq_4000_rep3.log
seq,4000,4,2.729099755,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,1,vmubuntu,seq_4000_rep4.json,logs/seq_4000_rep4.log
seq,5000,1,5.50497497,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,1,vmubuntu,seq_5000_rep1.json,logs/seq_5000_rep1.log
seq,5000,2,3.746577585,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,1,vmubuntu,seq_5000_rep2.json,logs/seq_5000_rep2.log
seq,5000,3,5.374296032,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,1,vmubuntu,seq_5000_rep3.json,logs/seq_5000_rep3.log
seq,5000,4,3.257478254,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,1,vmubuntu,seq_5000_rep4.json,logs/seq_5000_rep4.log
seq,6000,1,6.841071089,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,1,vmubuntu,seq_6000_rep1.json,logs/seq_6000_rep1.log
seq,6000,2,5.565335532,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,1,vmubuntu,seq_6000_rep2.json,logs/seq_6000_rep2.log
seq,6000,3,5.7991832819999996,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,1,vmubuntu,seq_6000_rep3.json,logs/seq_6000_rep3.log
seq,6000,4,4.675902678,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,1,vmubuntu,seq_6000_rep4.json,logs/seq_6000_rep4.log
seq,7000,1,8.543152509,0.10000462254474766,7.0039613758526246e-09,7.00396134118526e-09,1,vmubuntu,seq_7000_rep1.json,logs/seq_7000_rep1.log
