experiment,size,max_iters,np,count,mpi_avg_sec,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec
input_calibration,8000,50,3,1,3.760022899,0.05913405475777876,2.9623108219999996,1.4789057340000002,0.0008241589999984367
input_calibration,10000,50,3,1,5.709555254,0.24433577361785364,4.622992416999998,2.166967552,0.00115716700000279
input_calibration,12000,50,3,1,8.954440169,0.024544527167744745,7.057102418000002,3.7787549090000017,0.0012676560000022263
