kind,size,rep,runtime_sec,wall_clock_sec,objective,row_error,col_error,num_processes,hostnames,partition_mode,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_rows_per_sec,suggested_rank_weights_csv,max_rss_kb,json,log
mpi,12000,1,25.774129649000002,32.12,0.09999918236084962,1.2003910761538574e-08,1.200391072848396e-08,4,vmubuntu;VMubuntu;quan;Parallel,contiguous,3000;3000;3000;3000,12.564270;5.948856;7.209022;4.758392,13.184619;19.822825;18.483066;20.968497,11938.616;25214.931;20807.261;31523.253,"0.5336644834,1.127125018,0.930099085,1.409111414",578868,mpi_12000_np4_rep1.json,logs/mpi_12000_np4_rep1.log
mpi,12000,2,20.45986715,25.55,0.09999918236084962,1.2003910761538574e-08,1.200391072848396e-08,4,vmubuntu;VMubuntu;quan;Parallel,contiguous,3000;3000;3000;3000,8.783111;4.401944;6.376608;3.987171,11.671713;16.057373;14.014178;16.352940,17078.231;34075.853;23523.477;37620.657,"0.6083170875,1.213762918,0.8378931405,1.340026854",578728,mpi_12000_np4_rep2.json,logs/mpi_12000_np4_rep2.log
mpi,12000,3,19.650477413999997,26.20,0.09999918236084962,1.2003910761538574e-08,1.200391072848396e-08,4,vmubuntu;VMubuntu;quan;Parallel,contiguous,3000;3000;3000;3000,8.986827;4.499470;5.977573;4.146313,10.662668;15.083256;13.625783;15.432407,16691.098;33337.262;25093.796;36176.717,"0.5998658274,1.198116785,0.901852663,1.300164724",578720,mpi_12000_np4_rep3.json,logs/mpi_12000_np4_rep3.log
