experiment,size,max_iters,np,count,mpi_avg_sec,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec
input_calibration,8000,50,3,1,4.616672225,0.1028285693381684,4.018170788000001,2.4048790990000004,0.0005170059999979326
input_calibration,10000,50,3,1,8.241617796,0.06327056324465259,6.578032649000002,4.809778990999999,0.0008743119999969906
input_calibration,12000,50,3,1,11.245753656,0.08048265395864625,9.626193513000004,6.214205907999999,0.000982260999998541
