experiment,size,max_iters,np,count,mpi_avg_sec,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec
workload_calibration,8000,200,3,1,16.505508893000002,0.02881204106355999,13.071237708999993,8.620071064000008,0.002120252000003653
workload_calibration,8000,500,3,1,43.139915929000004,0.0035006465995182775,37.07173363700005,24.140481336999972,0.005937066999981866
workload_calibration,8000,1000,3,1,72.99618517100001,0.002523308575235344,58.52096406500001,34.40020551900013,0.009106228999950616
workload_calibration,8000,2000,3,1,139.208641306,0.0026603614296077,116.22351499100003,71.11716372100013,0.018520622999684377
