size,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,max_objective_diff,iterations
2000,0.2573130056666667,0.25723493733333336,1.0003034903973103,0.5001517451986551,8.104628079763643e-15,10
3000,0.5453879186666667,0.43324196699999995,1.2588529279451517,0.6294264639725758,3.175237850427948e-14,10
4000,0.709348434,0.74039124,0.9580724293820656,0.4790362146910328,4.063416270128073e-14,10
5000,0.8866258303333333,0.6684489326666666,1.326392768399354,0.663196384199677,2.3647750424515834e-14,10
6000,1.186897295,0.982837514,1.2076231097137387,0.6038115548568693,1.2323475573339238e-13,10
7000,1.6452738173333334,1.1768636723333334,1.3980156376747501,0.6990078188373751,4.496403249731884e-15,10
8000,2.1245629756666666,1.465779546,1.449442367690582,0.724721183845291,1.0524914273446484e-13,10
9000,2.723570322333333,1.929633661,1.4114442432155172,0.7057221216077586,1.0880185641326534e-13,10
10000,3.387961043333333,2.16685217,1.5635404621688305,0.7817702310844152,8.315570454442422e-14,10
11000,3.9924834203333335,2.8058683026666666,1.4229047801491328,0.7114523900745664,2.102207297127734e-13,10
12000,5.692592039,3.2592404606666667,1.7466008131954767,0.8733004065977383,8.809619700400617e-14,10
