size,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,seq_min_s,seq_max_s,mpi_min_s,mpi_max_s,max_objective_diff,seq_iterations,mpi_iterations
2000,0.2573130056666667,0.25723493733333336,1.0003034903973103,0.5001517451986551,0.138268474,0.473553064,0.190661734,0.383028096,8.104628079763643e-15,10,10
3000,0.5453879186666667,0.43324196699999995,1.2588529279451517,0.6294264639725758,0.300055833,1.0242078890000001,0.376362262,0.5024445479999999,3.175237850427948e-14,10,10
4000,0.709348434,0.74039124,0.9580724293820656,0.4790362146910328,0.551689914,0.9400307720000001,0.46528376600000004,1.154800393,4.063416270128073e-14,10,10
5000,0.8866258303333333,0.6684489326666666,1.326392768399354,0.663196384199677,0.783434343,0.9868744309999999,0.6384713,0.724227396,2.3647750424515834e-14,10,10
6000,1.186897295,0.982837514,1.2076231097137387,0.6038115548568693,1.164005049,1.198865124,0.8490939239999999,1.207899694,1.2323475573339238e-13,10,10
7000,1.6452738173333334,1.1768636723333334,1.3980156376747501,0.6990078188373751,1.602253753,1.66873801,1.1385369379999999,1.21209187,4.496403249731884e-15,10,10
