size,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,seq_min_s,seq_max_s,mpi_min_s,mpi_max_s,max_objective_diff,seq_iterations,mpi_iterations
8000,2.1245629756666666,1.465779546,1.449442367690582,0.724721183845291,2.043969232,2.1816171289999997,1.437502049,1.517698012,1.0524914273446484e-13,10,10
9000,2.723570322333333,1.929633661,1.4114442432155172,0.7057221216077586,2.6969729289999997,2.738071098,1.797075119,2.131347544,1.0880185641326534e-13,10,10
10000,3.387961043333333,2.16685217,1.5635404621688305,0.7817702310844152,3.283065401,3.449514618,2.14046265,2.20881156,8.315570454442422e-14,10,10
11000,3.9924834203333335,2.8058683026666666,1.4229047801491328,0.7114523900745664,3.9040626880000002,4.136012182,2.598740903,2.994027217,2.102207297127734e-13,10,10
12000,5.692592039,3.2592404606666667,1.7466008131954767,0.8733004065977383,4.605691752,7.335315073,2.998460894,3.6230666950000003,8.809619700400617e-14,10,10
