kind,size,rep,runtime_sec,objective,row_error,col_error,num_processes,hostnames,json,log
seq,10000,2,12.419308291,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,seq_10000_rep2.json,logs/seq_10000_rep2.log
seq,10000,3,12.289189312,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,seq_10000_rep3.json,logs/seq_10000_rep3.log
seq,10000,4,12.712910476,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,seq_10000_rep4.json,logs/seq_10000_rep4.log
seq,11000,1,17.295378057,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,seq_11000_rep1.json,logs/seq_11000_rep1.log
seq,11000,2,14.893894707,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,seq_11000_rep2.json,logs/seq_11000_rep2.log
seq,11000,3,14.930178246999999,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,seq_11000_rep3.json,logs/seq_11000_rep3.log
seq,11000,4,15.195514081999999,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,seq_11000_rep4.json,logs/seq_11000_rep4.log
seq,12000,1,22.353779348,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,seq_12000_rep1.json,logs/seq_12000_rep1.log
seq,12000,2,19.594261049,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,seq_12000_rep2.json,logs/seq_12000_rep2.log
seq,12000,3,18.213265559,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,seq_12000_rep3.json,logs/seq_12000_rep3.log
seq,12000,4,18.528989553,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,seq_12000_rep4.json,logs/seq_12000_rep4.log
mpi,2000,1,0.551172758,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_2000_np3_rep1.json,logs/mpi_2000_np3_rep1.log
mpi,2000,2,0.5607850430000001,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_2000_np3_rep2.json,logs/mpi_2000_np3_rep2.log
mpi,2000,3,0.563523654,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_2000_np3_rep3.json,logs/mpi_2000_np3_rep3.log
mpi,2000,4,0.553836892,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_2000_np3_rep4.json,logs/mpi_2000_np3_rep4.log
mpi,3000,1,0.73933996,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_3000_np3_rep1.json,logs/mpi_3000_np3_rep1.log
mpi,3000,2,0.808492994,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_3000_np3_rep2.json,logs/mpi_3000_np3_rep2.log
mpi,3000,3,0.761873123,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_3000_np3_rep3.json,logs/mpi_3000_np3_rep3.log
mpi,3000,4,0.729385545,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_3000_np3_rep4.json,logs/mpi_3000_np3_rep4.log
mpi,4000,1,1.2496328449999998,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_4000_np3_rep1.json,logs/mpi_4000_np3_rep1.log
mpi,4000,2,1.111959306,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_4000_np3_rep2.json,logs/mpi_4000_np3_rep2.log
mpi,4000,3,1.1510184430000001,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_4000_np3_rep3.json,logs/mpi_4000_np3_rep3.log
mpi,4000,4,1.018025692,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_4000_np3_rep4.json,logs/mpi_4000_np3_rep4.log
mpi,5000,1,2.25645708,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_5000_np3_rep1.json,logs/mpi_5000_np3_rep1.log
mpi,5000,2,1.5226751889999999,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_5000_np3_rep2.json,logs/mpi_5000_np3_rep2.log
mpi,5000,3,1.5060982459999999,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_5000_np3_rep3.json,logs/mpi_5000_np3_rep3.log
mpi,5000,4,1.515227237,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_5000_np3_rep4.json,logs/mpi_5000_np3_rep4.log
mpi,6000,1,2.445295204,0.09999779825359978,6.0040015687835065e-09,6.004001578595536e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_6000_np3_rep1.json,logs/mpi_6000_np3_rep1.log
mpi,6000,2,2.530962919,0.09999779825359978,6.0040015687835065e-09,6.004001578595536e-09,3,vmubuntu;VMubuntu;VMubuntu,mpi_6000_np3_rep2.json,logs/mpi_6000_np3_rep2.log
