size,rep,seq_key,runtime_s,wall_s,row_error,col_error,objective,iterations,kernel_cutoff
2000,1,dense,0.610905928,0.6472936420004771,2.0003256296372354e-09,2.0003256356003474e-09,0.3436686396735499,50,0.0
2000,1,sparse_cutoff025,1.784716714,1.8216559250004138,2.0006872990989757e-09,2.0006873078810133e-09,0.26911115978943245,50,0.25
2000,2,dense,0.644483418,0.6848738670005332,2.0003256296372354e-09,2.0003256356003474e-09,0.3436686396735499,50,0.0
2000,2,sparse_cutoff025,1.726963808,1.765948322999975,2.0006872990989757e-09,2.0006873078810133e-09,0.26911115978943245,50,0.25
2000,3,dense,0.614718597,0.6510474809992957,2.0003256296372354e-09,2.0003256356003474e-09,0.3436686396735499,50,0.0
2000,3,sparse_cutoff025,1.6835004699999998,1.7223767989999033,2.0006872990989757e-09,2.0006873078810133e-09,0.26911115978943245,50,0.25
3000,1,dense,1.191435816,1.2752533760003644,3.0003172656837412e-09,3.0003172853620107e-09,0.3436234683118657,50,0.0
3000,1,sparse_cutoff025,3.593425068,3.6563585820003937,3.0006784556028607e-09,3.0006784436766368e-09,0.26908507294603434,50,0.25
3000,2,dense,1.1404948510000001,1.1967494529999385,3.0003172656837412e-09,3.0003172853620107e-09,0.3436234683118657,50,0.0
3000,2,sparse_cutoff025,3.904558088,3.9662901550000242,3.0006784556028607e-09,3.0006784436766368e-09,0.26908507294603434,50,0.25
3000,3,dense,1.1607958680000001,1.2283218659995327,3.0003172656837412e-09,3.0003172853620107e-09,0.3436234683118657,50,0.0
3000,3,sparse_cutoff025,3.622285914,3.682313682000313,3.0006784556028607e-09,3.0006784436766368e-09,0.26908507294603434,50,0.25
4000,1,dense,2.278593887,2.387778525999238,4.000304659789247e-09,4.00030464103255e-09,0.34361143165366137,50,0.0
4000,1,sparse_cutoff025,6.7588919359999995,6.863314295000237,4.000650567119804e-09,4.0006505009834714e-09,0.2690263119156049,50,0.25
4000,2,dense,2.129687673,2.2386747739992643,4.000304659789247e-09,4.00030464103255e-09,0.34361143165366137,50,0.0
4000,2,sparse_cutoff025,6.503027353999999,6.611200360000112,4.000650567119804e-09,4.0006505009834714e-09,0.2690263119156049,50,0.25
4000,3,dense,2.219437239,2.340607295999689,4.000304659789247e-09,4.00030464103255e-09,0.34361143165366137,50,0.0
4000,3,sparse_cutoff025,6.44524522,6.5526851619997615,4.000650567119804e-09,4.0006505009834714e-09,0.2690263119156049,50,0.25
5000,1,dense,3.382683449,3.6021336129997508,5.00030690678689e-09,5.0003069200412614e-09,0.34361233046041423,50,0.0
5000,1,sparse_cutoff025,9.892214203999998,10.059154120999665,5.000655439702743e-09,5.000655461955992e-09,0.2690393007585832,50,0.25
5000,2,dense,3.5795650070000002,3.7486066319997917,5.00030690678689e-09,5.0003069200412614e-09,0.34361233046041423,50,0.0
5000,2,sparse_cutoff025,10.011899241,10.159970544000316,5.000655439702743e-09,5.000655461955992e-09,0.2690393007585832,50,0.25
5000,3,dense,3.456193072,3.6579311830000734,5.00030690678689e-09,5.0003069200412614e-09,0.34361233046041423,50,0.0
5000,3,sparse_cutoff025,10.138962201,10.289542024000184,5.000655439702743e-09,5.000655461955992e-09,0.2690393007585832,50,0.25
6000,1,dense,5.016459538,5.288315869999678,6.000310234029367e-09,6.000310333450706e-09,0.3435627744747746,50,0.0
6000,1,sparse_cutoff025,14.663660501,14.903436339999644,6.0006602030794175e-09,6.0006602235166285e-09,0.269013553767246,50,0.25
6000,2,dense,4.748098757999999,4.99114923200068,6.000310234029367e-09,6.000310333450706e-09,0.3435627744747746,50,0.0
6000,2,sparse_cutoff025,14.509139749,14.76796750199992,6.0006602030794175e-09,6.0006602235166285e-09,0.269013553767246,50,0.25
6000,3,dense,4.7595890810000006,5.005109927000376,6.000310234029367e-09,6.000310333450706e-09,0.3435627744747746,50,0.0
6000,3,sparse_cutoff025,14.651140538,14.880627931999697,6.0006602030794175e-09,6.0006602235166285e-09,0.269013553767246,50,0.25
