size,rep,variant,seq_key,seq_runtime_s,mpi_runtime_s,mpi_wall_s,speedup,efficiency,comm_mode,kernel_cutoff,sync_every,column_syncs,column_payload_bytes,payload_ratio_vs_double50,seq_iterations,mpi_iterations,mpi_row_error,mpi_col_error,objective_diff_vs_seq
8000,1,lazy_sync5,dense,7.771568439,4.179469632,6.286661049999566,1.8594628321969824,0.9297314160984912,lazy,0,5,10,640000,0.2,50,50,8.000318873444554e-09,8.000318843086893e-09,1.0591527654923993e-13
8000,1,sparse_cutoff025,sparse_cutoff025,24.345133128,13.934349490999999,15.279396361000181,1.7471309402512245,0.8735654701256123,double,0.25,1,50,3200000,1.0,50,50,8.000675099615077e-09,8.000675066194545e-09,3.813616089587413e-14
8000,2,double_baseline,dense,7.756535649,5.736427885,7.403224955999576,1.3521543030781078,0.6760771515390539,double,0,1,50,3200000,1.0,50,50,8.000316357336572e-09,8.00031631624531e-09,1.0513812043200232e-13
8000,2,float32_comm,dense,7.756535649,5.014920365,6.344329176999963,1.5466916888918534,0.7733458444459267,float32,0,1,50,1600000,0.5,50,50,7.113567363278969e-09,3.9328249671439705e-08,3.055103392490821e-10
8000,2,quantized_comm,dense,7.756535649,4.854363137,6.503961646000789,1.5978482511700896,0.7989241255850448,quantized,0,1,50,1600000,0.5,50,50,9.392514115427741e-09,2.671886822042764e-07,5.01552743781275e-10
8000,2,lazy_sync5,dense,7.756535649,4.212928141,5.454981590000898,1.8411269761555613,0.9205634880777807,lazy,0,5,10,640000,0.2,50,50,8.000318873444554e-09,8.000318843086893e-09,1.0591527654923993e-13
8000,2,sparse_cutoff025,sparse_cutoff025,24.962538186,14.306220524,15.670157097999436,1.7448730182876075,0.8724365091438038,double,0.25,1,50,3200000,1.0,50,50,8.000675099615077e-09,8.000675066194545e-09,3.813616089587413e-14
8000,3,double_baseline,dense,7.759004654,5.727874787,7.6847572329998,1.3546044462441562,0.6773022231220781,double,0,1,50,3200000,1.0,50,50,8.000316357336572e-09,8.00031631624531e-09,1.0513812043200232e-13
8000,3,float32_comm,dense,7.759004654,4.895528273,6.72469141900001,1.5849167283524337,0.7924583641762168,float32,0,1,50,1600000,0.5,50,50,7.113567363278969e-09,3.9328249671439705e-08,3.055103392490821e-10
8000,3,quantized_comm,dense,7.759004654,4.932953554,6.37550366800042,1.5728922985111893,0.7864461492555946,quantized,0,1,50,1600000,0.5,50,50,9.392514115427741e-09,2.671886822042764e-07,5.01552743781275e-10
8000,3,lazy_sync5,dense,7.759004654,4.2029363,5.491368942000008,1.8460914227988656,0.9230457113994328,lazy,0,5,10,640000,0.2,50,50,8.000318873444554e-09,8.000318843086893e-09,1.0591527654923993e-13
8000,3,sparse_cutoff025,sparse_cutoff025,25.035470974,13.595657983,15.195344727999327,1.8414313603140304,0.9207156801570152,double,0.25,1,50,3200000,1.0,50,50,8.000675099615077e-09,8.000675066194545e-09,3.813616089587413e-14
9000,1,double_baseline,dense,9.675548276999999,6.852861067999999,8.598166450999997,1.4118990857965545,0.7059495428982773,double,0,1,50,3600000,1.0,50,50,9.000313692762848e-09,9.00031373701185e-09,1.0902390101819037e-13
9000,1,float32_comm,dense,9.675548276999999,6.018595509,7.847547166999902,1.607608994911108,0.803804497455554,float32,0,1,50,1800000,0.5,50,50,9.072261028994478e-09,2.2957294848054382e-08,2.4410251597828392e-11
9000,1,quantized_comm,dense,9.675548276999999,5.914692257,7.279765912000585,1.635849822203184,0.817924911101592,quantized,0,1,50,1800000,0.5,50,50,9.305786915082392e-09,3.024655514175103e-07,1.0137335415549842e-10
9000,1,lazy_sync5,dense,9.675548276999999,5.246364876,6.688427697999941,1.8442385357643962,0.9221192678821981,lazy,0,5,10,720000,0.2,50,50,9.000316928198314e-09,9.000316978003851e-09,1.0791367799356522e-13
9000,1,sparse_cutoff025,sparse_cutoff025,31.265289727,17.171517033,18.513550749000387,1.8207645641858414,0.9103822820929207,double,0.25,1,50,3600000,1.0,50,50,9.000670765830793e-09,9.000670763160946e-09,5.390132784555135e-14
9000,2,double_baseline,dense,9.763814422000001,6.90535459,8.632317577000322,1.4139483055858542,0.7069741527929271,double,0,1,50,3600000,1.0,50,50,9.000313692762848e-09,9.00031373701185e-09,1.0902390101819037e-13
9000,2,float32_comm,dense,9.763814422000001,5.875907554,7.564983023000423,1.6616691689360095,0.8308345844680047,float32,0,1,50,1800000,0.5,50,50,9.072261028994478e-09,2.2957294848054382e-08,2.4410251597828392e-11
9000,2,quantized_comm,dense,9.763814422000001,6.862367439,8.21920711400071,1.4228055417887688,0.7114027708943844,quantized,0,1,50,1800000,0.5,50,50,9.305786915082392e-09,3.024655514175103e-07,1.0137335415549842e-10
9000,2,lazy_sync5,dense,9.763814422000001,5.255329476,6.588780578999831,1.857888162215008,0.928944081107504,lazy,0,5,10,720000,0.2,50,50,9.000316928198314e-09,9.000316978003851e-09,1.0791367799356522e-13
9000,2,sparse_cutoff025,sparse_cutoff025,31.414507869,17.112225375999998,18.401407552999444,1.835793251826793,0.9178966259133965,double,0.25,1,50,3600000,1.0,50,50,9.000670765830793e-09,9.000670763160946e-09,5.390132784555135e-14
9000,3,double_baseline,dense,9.692656371,7.151109029,9.49247293299959,1.3554060400552173,0.6777030200276086,double,0,1,50,3600000,1.0,50,50,9.000313692762848e-09,9.00031373701185e-09,1.0902390101819037e-13
9000,3,float32_comm,dense,9.692656371,5.923421385,7.313760275000277,1.6363273420906557,0.8181636710453278,float32,0,1,50,1800000,0.5,50,50,9.072261028994478e-09,2.2957294848054382e-08,2.4410251597828392e-11
9000,3,quantized_comm,dense,9.692656371,5.969210726999999,7.345269400999314,1.6237752048454364,0.8118876024227182,quantized,0,1,50,1800000,0.5,50,50,9.305786915082392e-09,3.024655514175103e-07,1.0137335415549842e-10
