size,seq_avg4_sec,mpi_np2_avg4_sec,speedup_avg4,efficiency_avg4,seq_first3_sec,mpi_first3_sec,speedup_first3,seq_last3_sec,mpi_last3_sec,speedup_last3,mpi_min_sec,mpi_max_sec,max_obj_diff,max_mpi_row_error,max_mpi_col_error
2000,0.5683175655,0.45184911725,1.2577596011669536,0.6288798005834768,0.5840550353333334,0.447283552,1.3057825013277784,0.5544586763333333,0.4476745793333333,1.2385306245420957,0.416084407,0.46554581300000003,5.842548667089886e-15,2.0041412267810324e-09,2.0041412212516013e-09
3000,1.30046392425,0.8946085635,1.4536680927378582,0.7268340463689291,1.3407623446666668,0.8754581853333333,1.5314978683489806,1.309700071,0.897337664,1.4595398405120326,0.8420209909999999,0.952059698,1.7069679003611782e-15,3.0041238668226423e-09,3.0041239058539206e-09
4000,2.20388201475,1.50746694175,1.4619770117091526,0.7309885058545763,2.226867648,1.530143612,1.4553324475794365,2.198024172,1.486941527,1.4782182971476054,1.418364101,1.603023549,7.216449660063518e-15,4.00399869846229e-09,4.003998701064375e-09
5000,3.60292213525,2.093262224,1.7211996155766867,0.8605998077883433,3.6242829346666667,2.062146321,1.7575294719674097,3.4851774166666667,2.0557281950000004,1.6953493293244761,1.9438290040000001,2.205864311,5.412337245047638e-16,5.004002766431691e-09,5.004002767786944e-09
6000,4.9791956289999995,3.0079930385,1.6553215267688857,0.8276607633844428,5.034629868333333,3.1538148243333333,1.5963619136699234,4.963266817,3.0375745193333334,1.6339572199497199,2.570527681,3.440400738,1.504352198367087e-14,6.004001548454716e-09,6.004001593584631e-09
7000,6.820128444,3.6342530565,1.8766245327363598,0.9383122663681799,7.047971950333333,3.742815169,1.8830670583758482,6.638058152666667,3.6041430103333334,1.8417854490332053,3.308566719,3.95586543,7.702172233337023e-15,7.003961349750457e-09,7.003961354466737e-09
8000,8.9874806265,4.70805297025,1.9089591139461544,0.9544795569730772,9.275928488,4.882000888,1.9000259731210436,8.730236729333333,4.581692567666667,1.9054610496878903,4.186209217,5.087134178,2.7672308888782027e-14,8.003961411457306e-09,8.003961442736539e-09
9000,11.51824739675,5.78626276325,1.9906194841176703,0.9953097420588352,11.683566219333333,5.931434801,1.9697706560583894,11.410652938333333,5.794360583666666,1.9692687007601937,5.35074665,6.02618626,6.938893903907228e-16,9.003957015629553e-09,9.003956968182156e-09
10000,13.49958398625,7.02881051525,1.9206071862316876,0.9603035931158438,13.792755269666667,7.193855739666667,1.9172966165576413,13.200775030333334,6.962316866666667,1.8960319220078015,6.533674842000001,7.528659742,3.469446951953614e-16,1.0003939634935797e-08,1.0003939596243332e-08
11000,17.21750801825,9.07942931325,1.8963205091672177,0.9481602545836089,17.840268543333334,9.401093406333334,1.8976801710442204,16.896173019,8.370411875,2.018559333915692,8.114437034,11.206481628,4.9682480351975755e-15,1.1003922524804692e-08,1.1003922556571816e-08
12000,19.60252938375,10.735582199749999,1.8259400393028042,0.9129700196514021,20.094347047666666,11.020683637,1.8233303585816985,19.322789459333332,10.061739945666666,1.920422269277111,9.613761932000001,12.757108962,3.967659534254153e-14,1.2003910793129515e-08,1.2003910783168407e-08
