kind,size,rep,runtime_sec,objective,row_error,col_error,num_processes,hostnames,json,log
seq,9000,4,11.022290929,0.09999960189824096,9.00395704661063e-09,9.003957000193225e-09,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_9000_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_9000_rep4.log
mpi,10000,1,7.2282914609999995,0.09999382893214467,1.0003939634935797e-08,1.0003939596243332e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_10000_np2_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_10000_np2_rep1.log
mpi,10000,2,7.528659742,0.09999382893214467,1.0003939634935797e-08,1.0003939596243332e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_10000_np2_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_10000_np2_rep2.log
mpi,10000,3,6.824616016,0.09999382893214467,1.0003939634935797e-08,1.0003939596243332e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_10000_np2_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_10000_np2_rep3.log
mpi,10000,4,6.533674842000001,0.09999382893214467,1.0003939634935797e-08,1.0003939596243332e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_10000_np2_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_10000_np2_rep4.log
seq,10000,1,14.396010854,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_10000_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_10000_rep1.log
seq,10000,2,13.581775717000001,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_10000_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_10000_rep2.log
seq,10000,3,13.400479238,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_10000_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_10000_rep3.log
seq,10000,4,12.620070136,0.09999382893214502,1.0003939657094178e-08,1.0003939648176616e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_10000_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_10000_rep4.log
mpi,11000,1,11.206481628,0.09999828572855096,1.1003922524804692e-08,1.1003922556571816e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_11000_np2_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_11000_np2_rep1.log
