experiment,size,max_iters,np,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
workload_balance,8000,2000,3,0,2667,164.39038220999998,125.18205905399999,39.189157783000354,0.019165372999637498
workload_balance,8000,2000,3,1,2667,164.393671816,103.9732235410004,60.405520945999804,0.01492732899979643
workload_balance,8000,2000,3,2,2666,164.39279984499998,83.0846527270001,81.28272159100024,0.025425526999640624
