size,max_iters,np,count,seq_avg_sec,mpi_avg_sec,speedup_vs_seq,efficiency,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec
16000,50,1,1,52.485991809,36.525317966,1.436975630379376,1.436975630379376,0.0,36.520502881999995,0.0007006209999955715
16000,50,2,1,52.485991809,33.749757024000004,1.5551516940307555,0.7775758470153777,0.01430076665906909,29.31090625399999,12.803604726000001
16000,50,4,1,52.485991809,14.641471676,3.584748375741078,0.8961870939352695,0.12352838840405676,12.034399193999993,7.2799888510000015
16000,50,8,1,52.485991809,16.720787278,3.1389665412499603,0.39237081765624504,0.14784314033183002,8.113030553999996,12.497640816000004
