variant,size,count,avg_runtime_sec,first3_runtime_sec,last3_runtime_sec,seq_avg_runtime_sec,speedup_avg,efficiency,avg_objective_diff,last_suggested_weights_csv
contiguous,8000,2,4.3541598950000004,nan,nan,11.744572025666667,2.6973221721033434,0.4495536953505572,4.266031972122164e-14,"0.6552446771,1.151594095,1.227116223,0.6336013303,1.146816586,1.185627089"
seq,8000,3,11.744572025666667,11.744572025666667,11.744572025666667,11.744572025666667,nan,nan,0.0,
weighted_adaptive,8000,2,4.3815398655,nan,nan,11.744572025666667,2.680466773369511,0.44674446222825187,3.8143099789778034e-14,"0.547121699,1.071014617,1.387109157,0.5638261018,1.085703067,1.345225359"
weighted_equal,8000,2,4.3665914064999996,nan,nan,11.744572025666667,2.689643003507035,0.44827383391783915,3.8871683649688293e-14,"0.5769103886,1.101179975,1.30046643,0.60063085,1.101650189,1.319162167"
weighted_manual_211,8000,2,5.8476806324999995,nan,nan,11.744572025666667,2.0084154323328067,0.3347359053888011,3.722022690055837e-14,"0.5748273683,1.083187796,1.370292712,0.5731749827,1.068950026,1.329567115"
