size,max_iters,np,count,mpi_avg_sec,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec
14000,50,3,1,14.402141008,0.01186011856883241,13.389906839,8.384956182000002
16000,50,3,1,16.596883979999998,0.020798849977859947,15.561575398999988,6.987008544999996
18000,50,3,1,20.688603217,0.024629888961355595,19.456748237000006,8.510650145999993
